split,selector,bit_accuracy,selection_accuracy
validation,first,0.9038888812065125,0.2222222238779068
validation,confidence_mean,0.9875925779342651,0.5166666507720947
validation,confidence_min,0.9618518352508545,0.4055555462837219
validation,confidence_l2,0.9879629611968994,0.5222222208976746
validation,oracle_index,0.9868518710136414,1.0
validation,majority_bits,0.9042592644691467,
validation,confidence_soft_fusion,0.925000011920929,
crop70,first,0.8916666507720947,0.0625
crop70,confidence_mean,0.9930555820465088,0.5555555820465088
crop70,confidence_min,0.9652777910232544,0.5069444179534912
crop70,confidence_l2,0.9937499761581421,0.6041666865348816
crop70,oracle_index,0.9928240776062012,1.0
crop70,majority_bits,0.8923611044883728,
crop70,confidence_soft_fusion,0.9224537014961243,
crop50,first,0.8462963104248047,0.0833333358168602
crop50,confidence_mean,0.9428240656852722,0.5277777910232544
crop50,confidence_min,0.8550925850868225,0.2708333432674408
crop50,confidence_l2,0.9449074268341064,0.5277777910232544
crop50,oracle_index,0.9481481313705444,1.0
crop50,majority_bits,0.8428241014480591,
crop50,confidence_soft_fusion,0.8608796000480652,
crop50_jpeg,first,0.6268518567085266,0.0833333358168602
crop50_jpeg,confidence_mean,0.604629635810852,0.1458333283662796
crop50_jpeg,confidence_min,0.5907407402992249,0.0833333358168602
crop50_jpeg,confidence_l2,0.603935182094574,0.1319444477558136
crop50_jpeg,oracle_index,0.6657407283782959,1.0
crop50_jpeg,majority_bits,0.6293981671333313,
crop50_jpeg,confidence_soft_fusion,0.6317129731178284,
crop50_blur,first,0.8412036895751953,0.0833333358168602
crop50_blur,confidence_mean,0.9328703880310059,0.5486111044883728
crop50_blur,confidence_min,0.8497685194015503,0.25
crop50_blur,confidence_l2,0.9342592358589172,0.5555555820465088
crop50_blur,oracle_index,0.9372684955596924,1.0
crop50_blur,majority_bits,0.8409722447395325,
crop50_blur,confidence_soft_fusion,0.8409722447395325,
