fallback_mode,threshold,condition,bit_accuracy,message_accuracy,dcss_usage_rate
average,0.12,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.12,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.12,macro_average,0.7876851956049601,,
average,0.1201,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1201,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1201,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1201,macro_average,0.7876851956049601,,
average,0.1202,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1202,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1202,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1202,macro_average,0.7876851956049601,,
average,0.12029999999999999,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.12029999999999999,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12029999999999999,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.12029999999999999,macro_average,0.7876851956049601,,
average,0.1204,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1204,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1204,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1204,macro_average,0.7876851956049601,,
average,0.1205,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1205,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1205,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1205,macro_average,0.7876851956049601,,
average,0.1206,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1206,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1206,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1206,macro_average,0.7876851956049601,,
average,0.1207,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1207,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1207,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1207,macro_average,0.7876851956049601,,
average,0.12079999999999999,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.12079999999999999,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12079999999999999,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.12079999999999999,macro_average,0.7876851956049601,,
average,0.1209,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1209,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1209,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1209,macro_average,0.7876851956049601,,
average,0.121,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.121,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.121,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.121,macro_average,0.7876851956049601,,
average,0.1211,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1211,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1211,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1211,macro_average,0.7876851956049601,,
average,0.1212,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1212,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1212,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1212,macro_average,0.7876851956049601,,
average,0.12129999999999999,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.12129999999999999,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12129999999999999,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.12129999999999999,macro_average,0.7876851956049601,,
average,0.1214,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1214,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1214,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1214,macro_average,0.7876851956049601,,
average,0.1215,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1215,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1215,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1215,macro_average,0.7876851956049601,,
average,0.1216,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1216,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1216,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1216,macro_average,0.7876851956049601,,
average,0.1217,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1217,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1217,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1217,macro_average,0.7876851956049601,,
average,0.12179999999999999,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.12179999999999999,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12179999999999999,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.12179999999999999,macro_average,0.7876851956049601,,
average,0.1219,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1219,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1219,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1219,macro_average,0.7876851956049601,,
average,0.122,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.122,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.122,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.122,macro_average,0.7876851956049601,,
average,0.1221,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1221,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1221,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1221,macro_average,0.7876851956049601,,
average,0.12219999999999999,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.12219999999999999,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12219999999999999,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.12219999999999999,macro_average,0.7876851956049601,,
average,0.12229999999999999,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.12229999999999999,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12229999999999999,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.12229999999999999,macro_average,0.7876851956049601,,
average,0.1224,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1224,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1224,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1224,macro_average,0.7876851956049601,,
average,0.1225,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1225,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1225,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1225,macro_average,0.7876851956049601,,
average,0.1226,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1226,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1226,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1226,macro_average,0.7876851956049601,,
average,0.12269999999999999,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.12269999999999999,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12269999999999999,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.12269999999999999,macro_average,0.7876851956049601,,
average,0.12279999999999999,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.12279999999999999,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12279999999999999,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.12279999999999999,macro_average,0.7876851956049601,,
average,0.1229,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1229,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1229,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1229,macro_average,0.7876851956049601,,
average,0.123,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.123,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.123,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.123,macro_average,0.7876851956049601,,
average,0.1231,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1231,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1231,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1231,macro_average,0.7876851956049601,,
average,0.12319999999999999,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.12319999999999999,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12319999999999999,crop50_jpeg,0.6575000286102295,0.0,0.0
