condition,method,sample,bit_accuracy,ber,message_accuracy,selected_oracle_candidate,dcss_usage_rate
full,PIMoG-Original,0,1.0,0.0,1.0,,
full,PIMoG-Original,1,1.0,0.0,1.0,,
full,PIMoG-Original,2,1.0,0.0,1.0,,
full,PIMoG-Original,3,1.0,0.0,1.0,,
full,PIMoG-Original,4,1.0,0.0,1.0,,
full,PIMoG-Original,5,1.0,0.0,1.0,,
full,PIMoG-Original,6,1.0,0.0,1.0,,
full,PIMoG-Original,7,1.0,0.0,1.0,,
full,PIMoG-Original,8,1.0,0.0,1.0,,
full,PIMoG-Original,9,1.0,0.0,1.0,,
full,PIMoG-Original,10,1.0,0.0,1.0,,
full,PIMoG-Original,11,1.0,0.0,1.0,,
full,PIMoG-Original,12,1.0,0.0,1.0,,
full,PIMoG-Original,13,1.0,0.0,1.0,,
full,PIMoG-Original,14,1.0,0.0,1.0,,
full,PIMoG-Original,15,1.0,0.0,1.0,,
full,PIMoG-Original,16,1.0,0.0,1.0,,
full,PIMoG-Original,17,1.0,0.0,1.0,,
full,PIMoG-Original,18,1.0,0.0,1.0,,
full,PIMoG-Original,19,1.0,0.0,1.0,,
full,PIMoG-Original,20,1.0,0.0,1.0,,
full,PIMoG-Original,21,1.0,0.0,1.0,,
full,PIMoG-Original,22,1.0,0.0,1.0,,
full,PIMoG-Original,23,1.0,0.0,1.0,,
full,PIMoG-Original,24,1.0,0.0,1.0,,
full,PIMoG-Original,25,1.0,0.0,1.0,,
full,PIMoG-Original,26,1.0,0.0,1.0,,
full,PIMoG-Original,27,1.0,0.0,1.0,,
full,PIMoG-Original,28,1.0,0.0,1.0,,
full,PIMoG-Original,29,1.0,0.0,1.0,,
full,PIMoG-Original,30,1.0,0.0,1.0,,
full,PIMoG-Original,31,1.0,0.0,1.0,,
full,PIMoG-Original,32,1.0,0.0,1.0,,
full,PIMoG-Original,33,1.0,0.0,1.0,,
full,PIMoG-Original,34,1.0,0.0,1.0,,
full,PIMoG-Original,35,1.0,0.0,1.0,,
full,PIMoG-Original,36,1.0,0.0,1.0,,
full,PIMoG-Original,37,0.9666666388511658,0.03333336114883423,0.0,,
full,PIMoG-Original,38,1.0,0.0,1.0,,
full,PIMoG-Original,39,1.0,0.0,1.0,,
full,PIMoG-Original,40,1.0,0.0,1.0,,
full,PIMoG-Original,41,1.0,0.0,1.0,,
full,PIMoG-Original,42,1.0,0.0,1.0,,
full,PIMoG-Original,43,1.0,0.0,1.0,,
full,PIMoG-Original,44,1.0,0.0,1.0,,
full,PIMoG-Original,45,1.0,0.0,1.0,,
full,PIMoG-Original,46,1.0,0.0,1.0,,
full,PIMoG-Original,47,1.0,0.0,1.0,,
full,PIMoG-Original,48,1.0,0.0,1.0,,
full,PIMoG-Original,49,1.0,0.0,1.0,,
full,PIMoG-Original,50,1.0,0.0,1.0,,
full,PIMoG-Original,51,1.0,0.0,1.0,,
full,PIMoG-Original,52,1.0,0.0,1.0,,
full,PIMoG-Original,53,1.0,0.0,1.0,,
full,PIMoG-Original,54,1.0,0.0,1.0,,
full,PIMoG-Original,55,1.0,0.0,1.0,,
full,PIMoG-Original,56,1.0,0.0,1.0,,
full,PIMoG-Original,57,1.0,0.0,1.0,,
full,PIMoG-Original,58,1.0,0.0,1.0,,
full,PIMoG-Original,59,1.0,0.0,1.0,,
full,PIMoG-Original,60,1.0,0.0,1.0,,
full,PIMoG-Original,61,1.0,0.0,1.0,,
